Algorithm,Size,Threads,Time_ms,Run
Bubble-Seq,5000,1,9.73,1
Bubble-Seq,5000,1,8.15,2
Bubble-Seq,5000,1,7.22,3
Bubble-Seq,5000,1,6.95,4
Bubble-Seq,5000,1,6.36,5
Bubble-Seq,5000,1,6.22,6
Bubble-Seq,5000,1,5.96,7
Bubble-Seq,5000,1,6.07,8
Bubble-Seq,5000,1,5.64,9
Bubble-Seq,5000,1,5.92,10
Bubble-Seq,10000,1,22.83,1
Bubble-Seq,10000,1,22.40,2
Bubble-Seq,10000,1,22.07,3
Bubble-Seq,10000,1,22.12,4
Bubble-Seq,10000,1,22.11,5
Bubble-Seq,10000,1,21.89,6
Bubble-Seq,10000,1,22.19,7
Bubble-Seq,10000,1,22.53,8
Bubble-Seq,10000,1,21.91,9
Bubble-Seq,10000,1,22.22,10
Bubble-Seq,50000,1,571.73,1
Bubble-Seq,50000,1,572.13,2
Bubble-Seq,50000,1,572.47,3
Bubble-Seq,50000,1,571.15,4
Bubble-Seq,50000,1,570.22,5
Bubble-Seq,50000,1,569.16,6
Bubble-Seq,50000,1,568.60,7
Bubble-Seq,50000,1,570.37,8
Bubble-Seq,50000,1,577.92,9
Bubble-Seq,50000,1,574.01,10
Bubble-Seq,100000,1,2443.44,1
Bubble-Seq,100000,1,2410.04,2
Bubble-Seq,100000,1,2409.36,3
Bubble-Seq,100000,1,2423.45,4
Bubble-Seq,100000,1,2410.54,5
Bubble-Seq,100000,1,2401.50,6
Bubble-Seq,100000,1,2397.39,7
Bubble-Seq,100000,1,2405.57,8
Bubble-Seq,100000,1,2400.61,9
Bubble-Seq,100000,1,2415.10,10
Bubble-Seq,500000,1,134405.22,1
Bubble-Seq,500000,1,132277.02,2
Bubble-Seq,500000,1,136952.97,3
Bubble-Seq,500000,1,137165.02,4
Bubble-Seq,500000,1,289877.85,5
Bubble-Seq,500000,1,2889255.40,6
Bubble-Seq,500000,1,2091420.32,7
Bubble-Seq,500000,1,2383877.06,8
Bubble-Seq,500000,1,137343.03,9
Bubble-Seq,500000,1,137551.39,10
Bubble-Par,5000,4,threads):,1
Bubble-Par,5000,4,threads):,2
Bubble-Par,5000,4,threads):,3
Bubble-Par,5000,4,threads):,4
Bubble-Par,5000,4,threads):,5
Bubble-Par,5000,4,threads):,6
Bubble-Par,5000,4,threads):,7
Bubble-Par,5000,4,threads):,8
Bubble-Par,5000,4,threads):,9
Bubble-Par,5000,4,threads):,10
Bubble-Par,10000,4,threads):,1
Bubble-Par,10000,4,threads):,2
Bubble-Par,10000,4,threads):,3
Bubble-Par,10000,4,threads):,4
Bubble-Par,10000,4,threads):,5
Bubble-Par,10000,4,threads):,6
Bubble-Par,10000,4,threads):,7
Bubble-Par,10000,4,threads):,8
Bubble-Par,10000,4,threads):,9
Bubble-Par,10000,4,threads):,10
Bubble-Par,50000,4,threads):,1
Bubble-Par,50000,4,threads):,2
Bubble-Par,50000,4,threads):,3
Bubble-Par,50000,4,threads):,4
Bubble-Par,50000,4,threads):,5
Bubble-Par,50000,4,threads):,6
Bubble-Par,50000,4,threads):,7
Bubble-Par,50000,4,threads):,8
Bubble-Par,50000,4,threads):,9
Bubble-Par,50000,4,threads):,10
Bubble-Par,100000,4,threads):,1
Bubble-Par,100000,4,threads):,2
Bubble-Par,100000,4,threads):,3
Bubble-Par,100000,4,threads):,4
Bubble-Par,100000,4,threads):,5
Bubble-Par,100000,4,threads):,6
Bubble-Par,100000,4,threads):,7
Bubble-Par,100000,4,threads):,8
Bubble-Par,100000,4,threads):,9
Bubble-Par,100000,4,threads):,10
Bubble-Par,500000,4,threads):,1
Bubble-Par,500000,4,threads):,2
Bubble-Par,500000,4,threads):,3
Bubble-Par,500000,4,threads):,4
Bubble-Par,500000,4,threads):,5
Bubble-Par,500000,4,threads):,6
Bubble-Par,500000,4,threads):,7
Bubble-Par,500000,4,threads):,8
Bubble-Par,500000,4,threads):,9
Bubble-Par,500000,4,threads):,10
Merge-Seq,5000,1,0.42,1
Merge-Seq,5000,1,0.45,2
Merge-Seq,5000,1,0.43,3
Merge-Seq,5000,1,0.48,4
Merge-Seq,5000,1,0.43,5
Merge-Seq,5000,1,0.44,6
Merge-Seq,5000,1,0.51,7
Merge-Seq,5000,1,0.42,8
Merge-Seq,5000,1,0.43,9
Merge-Seq,5000,1,0.42,10
Merge-Seq,10000,1,0.90,1
Merge-Seq,10000,1,0.90,2
Merge-Seq,10000,1,0.85,3
Merge-Seq,10000,1,0.91,4
Merge-Seq,10000,1,0.87,5
Merge-Seq,10000,1,0.89,6
Merge-Seq,10000,1,0.86,7
Merge-Seq,10000,1,0.89,8
Merge-Seq,10000,1,0.86,9
Merge-Seq,10000,1,0.89,10
Merge-Seq,50000,1,4.40,1
Merge-Seq,50000,1,4.73,2
Merge-Seq,50000,1,4.60,3
Merge-Seq,50000,1,4.42,4
Merge-Seq,50000,1,4.56,5
Merge-Seq,50000,1,4.42,6
Merge-Seq,50000,1,4.60,7
Merge-Seq,50000,1,5.05,8
Merge-Seq,50000,1,4.60,9
Merge-Seq,50000,1,4.43,10
Merge-Seq,100000,1,8.94,1
Merge-Seq,100000,1,9.03,2
Merge-Seq,100000,1,9.47,3
Merge-Seq,100000,1,9.35,4
Merge-Seq,100000,1,9.08,5
Merge-Seq,100000,1,9.25,6
Merge-Seq,100000,1,9.24,7
Merge-Seq,100000,1,9.12,8
Merge-Seq,100000,1,9.13,9
Merge-Seq,100000,1,9.09,10
Merge-Seq,500000,1,45.82,1
Merge-Seq,500000,1,46.85,2
Merge-Seq,500000,1,47.09,3
Merge-Seq,500000,1,47.54,4
Merge-Seq,500000,1,55.10,5
Merge-Seq,500000,1,46.66,6
Merge-Seq,500000,1,45.82,7
Merge-Seq,500000,1,47.16,8
Merge-Seq,500000,1,46.70,9
Merge-Seq,500000,1,46.72,10
Merge-Par,5000,4,threads):,1
Merge-Par,5000,4,threads):,2
Merge-Par,5000,4,threads):,3
Merge-Par,5000,4,threads):,4
Merge-Par,5000,4,threads):,5
Merge-Par,5000,4,threads):,6
Merge-Par,5000,4,threads):,7
Merge-Par,5000,4,threads):,8
Merge-Par,5000,4,threads):,9
Merge-Par,5000,4,threads):,10
Merge-Par,10000,4,threads):,1
Merge-Par,10000,4,threads):,2
Merge-Par,10000,4,threads):,3
Merge-Par,10000,4,threads):,4
Merge-Par,10000,4,threads):,5
Merge-Par,10000,4,threads):,6
Merge-Par,10000,4,threads):,7
Merge-Par,10000,4,threads):,8
Merge-Par,10000,4,threads):,9
Merge-Par,10000,4,threads):,10
Merge-Par,50000,4,threads):,1
Merge-Par,50000,4,threads):,2
Merge-Par,50000,4,threads):,3
Merge-Par,50000,4,threads):,4
Merge-Par,50000,4,threads):,5
Merge-Par,50000,4,threads):,6
Merge-Par,50000,4,threads):,7
Merge-Par,50000,4,threads):,8
Merge-Par,50000,4,threads):,9
Merge-Par,50000,4,threads):,10
Merge-Par,100000,4,threads):,1
Merge-Par,100000,4,threads):,2
Merge-Par,100000,4,threads):,3
Merge-Par,100000,4,threads):,4
Merge-Par,100000,4,threads):,5
Merge-Par,100000,4,threads):,6
Merge-Par,100000,4,threads):,7
Merge-Par,100000,4,threads):,8
Merge-Par,100000,4,threads):,9
Merge-Par,100000,4,threads):,10
Merge-Par,500000,4,threads):,1
Merge-Par,500000,4,threads):,2
Merge-Par,500000,4,threads):,3
Merge-Par,500000,4,threads):,4
Merge-Par,500000,4,threads):,5
Merge-Par,500000,4,threads):,6
Merge-Par,500000,4,threads):,7
Merge-Par,500000,4,threads):,8
Merge-Par,500000,4,threads):,9
Merge-Par,500000,4,threads):,10
